,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
PE 38:6 (18:2/20:4),10892,6827,7753,6527,5473,4009,17613,5397,3351,13325,8733,3891,1857,8497,4576,3382,6594,3214,8316,2221,5144,4088,5653,3956,6531,11078,7223,1792,7931,6849,9544,7620,6886,9503,9350,5597,12256,8052,6613,12787,9670,5984,5306,13831,3329,5793,6828,7014,4399,4334,10961,8578,4120,7318,4783,14692,9289,7141,9289,8028,7035,13878,2472,8791,4036,12817,4585,9647,4012,7729,9711,4810,9197,5934,10779,11714,8110,5407,5095,13844,9583,9046,1908,11557,18397,8330,5041,8558,7223,4881,7707,7990,5610,8063,5830,4343,9283,4445,4909,6378,2105,7408,4065,7228,3349,4436,3786,4428,7046,4139,10188,4785,1095,2298,2374,5253,4983,5956,6700,10731,5509,7030,3897,8009,4673,5702,5034,2943,3080,7093,6841,2982,2971,1769,6831,3035,2082,8021,4859,1674,5207,4355,8717,6225,6860,2498,2712,2007,9100,7306,3516,4301,7708,2139,8739,5816,3800,7333,5503,3983,2567,6896,3746,5548,4207,3816,1475,6857,2197,5360,5143,26517,8075,6439,3724,3530,4221,2871,3750,6531,3914,7863,7202,3038,5470,5149,9376,1511,4136,2203,7735,4904,10949,6783,3154,5997,2268,12636,11527,6784,13909,3453,3800,6823,7091,6815,4061,4799,16464,10664,5087,9341,7082,7345,3476,6371,1197,5487,1919,5858,2869,6060,6443,5513,4845,2289,12327,6061,9488,3626,10717,4216,6328,6467,3792,2440,7702,2643,4260,5589,3063,4577,2027,4937,13152,3378,4294,7217,3778,7748,4823,2428,4405,8491,10077,6993,4409,4096,10282,6881,6273,2270,1227,7237,8138,3371,4425
PE 38:3 (18:0/20:3),31702,18423,18372,14788,13734,20211,68374,30238,16464,45121,20662,15330,11152,23546,3666,11057,53042,6887,17377,16131,19971,18894,37737,15363,38938,17065,23659,7994,20090,62336,46406,43637,16540,31582,27295,13716,60625,32271,15396,53549,12068,18158,16998,66224,21962,25212,16715,40000,13561,6877,27136,27916,26610,17830,11599,125863,29540,20434,27744,20827,21085,25614,17759,50242,18975,37671,15449,32618,23961,29294,30776,17719,34237,9468,14316,12062,27207,25932,21320,27155,25684,28082,17735,31804,75532,21378,7981,8218,20884,14360,14399,20708,15588,45863,8948,42229,20407,14162,19909,35485,6478,15753,18708,14746,13807,19175,27624,33828,27543,13098,10030,31270,8774,4503,7435,9273,10492,11639,3054,20408,10422,16166,9510,4329,15578,14094,36035,13148,15642,11705,9735,9428,6780,8048,15498,6901,9641,18738,18427,8832,21057,13244,14555,3310,6440,9657,13814,26110,39223,8362,39065,13377,24629,12259,56955,15687,16443,32284,12225,22714,11187,12889,13361,14325,5322,21233,8700,15820,10118,19088,22623,43008,12258,15727,15261,25285,18923,9657,17088,34844,33422,20470,21996,17124,39297,38901,26286,11656,10648,14548,9432,24804,9677,22621,6264,10548,23987,22915,45660,28871,28366,4736,4405,18239,9714,15304,6166,9862,78822,9444,13448,35084,19323,39822,13862,24421,11331,8205,3532,19333,24855,15767,12874,12683,30571,14359,10552,15815,32482,20180,35608,28046,14995,8025,10304,6887,17024,9439,5407,14906,5110,17731,18426,24430,56581,22352,13941,5303,8944,8813,5582,22593,27827,14885,35921,24031,17885,56315,12223,28255,23482,6070,12373,19097,13148,27134,15719
PE 40:5 (18:0/22:5),10742,10140,10108,8317,9180,15864,17143,27648,7396,24711,8527,8263,3484,14573,3715,8652,26911,5062,12636,6944,4704,8074,15427,7629,16723,11696,8667,3409,8433,19321,24958,22602,9264,11901,8898,11719,22240,16060,9429,34355,8693,12281,7134,27515,9635,13875,8952,21016,7952,6968,10989,13256,10483,9225,6801,32477,14235,14247,15131,7230,8919,9970,8306,19841,7420,15435,8914,14867,3704,12362,10175,6005,22021,5775,8042,10297,16052,6724,8081,7292,14535,15795,4601,15729,26673,10488,7640,11722,21162,15446,3522,12849,6104,25692,8338,18995,11668,3684,7201,13972,6676,3378,10040,2439,8031,14583,9282,19352,15893,5406,5187,15311,6268,5970,6239,7839,7035,4604,3905,8849,1262,10070,4346,4032,5016,9432,9619,6671,4259,7233,13343,3583,3071,3873,7275,3441,9039,7190,16170,5519,9046,6032,10459,6527,3781,5652,4807,12528,21798,3614,20477,13165,12481,8491,54226,5862,4513,14221,8766,6737,7730,5243,7309,2805,8202,9830,9265,6550,6091,9208,12026,36936,6939,7347,10190,7864,7436,6132,4839,14538,19800,10458,12063,10616,11445,8594,11072,5281,8727,10860,7279,6983,12240,12324,8245,6780,4760,30349,22729,19313,15375,1966,5919,4872,4564,10946,2332,5006,46907,11353,2913,23969,8270,35381,9045,8025,5639,5064,6346,18719,9417,12163,6791,4775,10551,8089,7292,21831,8778,10777,17710,9762,7540,3774,6544,5120,7264,13450,6144,6597,4020,9359,6217,3334,26638,9237,2331,1735,4806,9888,2961,17284,13998,11809,17343,7522,6875,19787,5709,13779,16991,2252,5990,8899,15688,12302,8477
PE 40:4 (18:0/22:4),15652,9430,6183,5084,5890,19476,29891,9540,2114,18803,6869,5438,3727,11298,3895,4199,24343,5794,5724,4793,5399,6456,12382,6864,10948,8516,12808,3282,6765,15367,23640,17305,7567,9634,10719,6950,28011,13239,4840,17192,5295,7053,7098,30882,9643,11746,4909,19763,8441,7707,11414,10991,7383,8585,2741,32696,14255,8952,11448,7303,6248,10434,4876,19688,5448,12530,2653,14864,8828,8660,7533,7031,11548,11010,4874,8056,12742,4412,6174,11842,10872,10052,6929,11871,26746,9982,5765,5334,10201,8178,1883,6782,4879,13629,3439,6863,7410,5145,8398,11836,1041,6949,4387,4621,3694,6986,6030,5374,10861,1597,2293,5706,2519,2617,2244,3026,4022,5551,5145,8524,1965,10693,3518,3990,3091,4323,12007,3860,4527,6013,9852,1972,833,1847,5408,1905,5603,4999,8452,854,4918,3769,5412,1061,2738,2993,1783,7852,11251,7813,13363,4814,4102,4515,32666,2446,4762,10893,4550,6690,5976,7588,3592,4661,3044,5105,3496,8637,4301,5921,10099,19726,14892,5682,6736,6477,5373,4353,4811,8465,11668,10279,11397,8152,10316,7438,14472,3527,4233,5616,6413,3130,12474,3627,3158,6729,6672,10825,13077,13141,11940,2881,3090,6584,4959,6800,3525,3757,33153,7180,327,13084,7157,5484,5132,3682,3401,5583,2909,8279,3843,2641,3297,3675,8911,4790,4612,9487,7550,7875,14721,12595,1699,3958,2486,2618,4689,8704,4559,2220,2565,4087,1168,5600,10507,1841,2797,1808,1339,4463,1904,13051,10960,6494,13260,6698,6895,9569,2097,10021,11669,996,2587,5971,14780,11167,6370
LPE 20:3,24066,8200,9375,10325,10040,2249,19833,4048,2434,16901,13233,7065,4714,6179,6509,2403,15038,4384,12801,8808,11648,3953,8960,9611,14427,8249,10926,7758,11563,19378,13100,14800,12111,17908,20531,5905,15641,14211,6070,18653,8411,7384,2086,21166,7893,10495,10431,15912,6069,2459,15223,11873,8355,9753,1863,33278,10695,8212,10512,14278,12607,21770,5377,9801,8048,12401,14414,19113,14229,9001,12392,5673,7009,3696,11603,6649,15210,9179,7369,24861,8349,8438,7556,10241,32752,11912,4831,9305,7097,3475,6420,8404,8958,12452,5657,13302,11621,12895,12606,9502,2448,13474,10726,7012,6239,6199,9573,11960,6180,7361,4167,14642,3880,707,3455,2316,3434,13975,10489,13800,7207,14932,5545,2758,7527,9142,22286,5205,13344,10957,13504,5987,3690,4979,11095,3202,4257,11845,8086,3120,8864,6920,11733,5462,7399,6267,7011,4852,3790,7011,10445,6480,6399,5570,10702,7980,5314,11145,9279,5306,5727,7004,4804,6188,3502,14765,7032,15431,8374,8507,10034,20567,4820,4666,8089,6513,9238,6791,8257,8657,11966,12362,8002,5464,11860,12955,13343,3600,7526,3333,4887,10722,6897,8344,4604,11433,10423,13994,16330,9440,24292,5421,4974,13008,4368,10322,5864,4917,17826,7445,9961,6722,13330,5012,5395,10300,4645,5905,1444,8113,9385,6732,7476,11352,10705,8059,13129,20250,8951,10563,14800,14842,4220,10546,12859,1168,13137,6823,9225,7945,9721,14402,9362,9359,12823,7797,9146,5762,8788,9047,3476,6887,10817,3461,12869,18749,6900,14709,11394,15063,9245,7536,12641,10254,12626,8987,7997
LPE 22:4,4592,2496,1564,1980,2306,1001,1878,176,12.70324936,6683,2004,982,845,2303,1202,898,3106,852,2229,776,1563,195,568,4057,3971,2059,2171,1845,1810,4672,4899,5028,2933,2265,5638,1107,2965,2473,426,4952,859,1080,683,3941,1506,2132,1660,7482,2597,2121,6183,2819,722,917,580,5523,3152,990,3490,2244,2452,7140,418,707,496,2293,3045,6718,2212,909,1167,652,1230,647,1661,4596,2275,177,417,7805,2522,2101,740,1927,11483,4599,928,2191,2909,1466,679,2261,708,3538,962,850,3207,2730,2840,582,209,3232,1269,993,1551,2529,1378,1422,545,453,1157,4422,281,293,128,379,1057,3117,5728,5367,1087,8125,642,189,319,1385,5104,1293,1430,2257,6276,800,12.70324936,486,1906,747,2185,1367,2654,134,875,1355,2191,1944,1796,641,747,2250,198,3800,2001,1155,145,1085,5836,1537,2485,1814,186,285,1010,2177,800,776,529,1883,580,5580,1266,789,2110,10013,289,1630,2353,127,505,1198,522,667,1983,3625,2262,1960,2821,1290,6636,497,1255,1114,1127,156,4253,1016,1225,2874,1496,5670,4382,2042,8501,1187,266,3601,1322,3339,2719,367,6774,1796,12.70324936,1236,2260,511,558,529,317,1017,863,1022,661,1273,1604,904,1796,2165,4712,3718,334,2058,4087,4362,136,2224,1780,693,2571,1760,2897,176,2187,1113,523,477,1278,1373,1341,264,665,2496,435,3753,3900,1824,4314,2384,1911,2422,2440,1963,2839,332,1932,1337,4551,2482,2029
DG 36:5 (18:2/18:3),118031,64322,64289,50782,31231,59618,270513,338536,60533,84994,156424,51631,47271,79530,68610,41342,89406,42287,132286,61141,76017,52394,189827,78361,49937,75532,113466,19645,74411,87229,159043,90602,94836,53966,63417,59608,132158,167720,33012,169673,175215,70368,47753,226514,66079,58481,66309,101018,40817,51854,32577,91405,80887,118673,95108,128296,148255,182442,145220,108004,45552,48186,65571,61298,43286,180551,70937,113640,136041,87807,121564,91964,95134,26718,79393,38366,57075,67048,117569,64492,134307,106500,49332,141450,105269,120984,84583,39585,137394,28608,42955,43943,81485,74500,37769,69609,89701,22477,132418,71529,36988,55727,50738,19892,32044,27548,121317,68964,61098,40400,110006,33130,26196,15638,33090,37594,38501,40750,113585,27534,37610,96572,42518,30006,40280,110543,241062,72484,120538,47408,49842,64010,13955,12036,37430,25130,60237,100882,37913,50800,142786,35032,34043,19479,85772,63500,14580,28660,102597,63301,89150,21971,54976,33997,46607,38035,32067,60555,53499,88387,51838,41437,29074,68055,16646,40125,26865,46198,53322,24931,109629,145488,15361,49268,62984,117423,120310,42891,68924,113244,66423,33822,49044,83818,96035,301555,139456,14717,38376,31107,31368,47912,28194,49029,34285,49435,55106,55354,66654,68699,38496,19132,19845,52876,172299,49398,18331,49249,88615,123408,125599,106527,39702,178944,24145,49821,42088,23269,23086,43397,24281,235141,63025,78399,131198,50023,172049,28575,100188,49919,88941,24622,33695,16345,22072,12205,81539,52074,31399,22658,61680,45446,42772,33311,168410,34980,101209,109454,45423,54624,38862,59077,89998,68313,85115,63641,172694,60609,119753,56162,175644,22155,36741,33445,65693,73019,43437
"DG 34:4 (16:2/18:2, 16:1/18:3)",12034,11513,9912,10700,6379,4370,20989,35639,9670,12297,19134,9760,12423,12565,9672,5952,21642,6304,18834,10678,13316,5673,21303,13360,10195,13466,15511,3833,15282,33498,23295,15384,13225,7661,8221,13326,19858,25991,5500,25883,20456,8191,8265,22592,12865,12876,11023,14261,6090,6757,5918,20335,12928,10876,13422,21489,24224,19898,21929,14148,7569,10603,9978,7554,7333,19632,12065,14539,20224,9593,14619,17312,14233,3618,9901,7326,7209,11906,19713,9486,15872,25355,9044,21493,22874,19592,7961,7254,20602,6608,5358,8962,28649,9984,5104,11929,21567,6104,23424,11148,4086,15289,7722,3704,9771,7559,14537,11583,13029,7884,16960,6648,5390,2219,5876,5136,8067,10485,15590,4767,5742,18721,7105,3737,6691,18996,40930,12150,24565,8831,13001,9193,3286,2279,8735,6878,12257,12284,9289,5804,17153,5423,6660,5765,9978,10177,2025,6779,13712,8074,23676,4358,8525,8039,13403,7915,8084,12036,11195,10855,8027,9027,5823,8352,3880,7050,6153,10996,10065,7134,19107,37531,1772,14751,12350,20948,18303,8464,14876,17767,18181,6652,12383,17150,19096,77440,25874,2344,6664,3969,6438,10536,2595,8161,5443,10776,10672,8849,17138,11402,8307,1941,3158,12681,14959,14758,3285,12088,28192,17889,20475,25918,8863,24159,5159,6619,8659,5713,5211,12389,6715,26075,14013,16059,21479,9425,15996,8253,12307,10950,18406,7595,8420,2525,4302,2391,13977,9563,4838,3572,14461,8182,5625,6740,18413,6609,18585,24089,11117,12782,6266,14912,15469,8795,15744,12825,19827,13544,18933,15841,24531,5416,6051,10627,13698,11290,7925
"DG 38:7 (18:2/20:5, 18:3/20:4)",96293,108221,102426,151028,48276,64309,236894,601573,194172,294667,136788,49028,63153,109041,47351,35106,65913,38577,354160,137165,61209,52642,65243,117745,77254,50113,125387,38044,86409,124746,332570,149031,95537,120301,201204,71685,85238,178473,93211,420524,618392,295080,153009,322174,116021,64050,72403,464204,59457,50043,98984,127138,165519,134302,149912,170172,147734,288837,158541,55508,79274,205062,52662,53489,100146,260393,298788,125217,73764,67080,108279,286665,155545,44629,119893,96472,92043,28066,63106,320615,328987,288527,59269,201115,703550,338932,87079,204591,113523,47420,72961,66495,123995,238450,88626,76131,113193,36950,409987,133250,57048,144697,50988,32637,32110,55849,312693,147250,111377,102726,179688,82405,36762,30693,78151,84558,33204,35318,66590,84621,45576,232396,75551,124453,41781,243798,910691,178782,65317,81895,163627,101281,24620,52184,36504,50039,125530,85710,77572,65859,131970,114216,35919,31436,41381,62128,70749,71225,160221,57916,366146,49128,151283,86396,152998,75673,34839,158169,71018,141734,78688,129908,55684,65191,31588,45442,49145,272565,56019,58249,252380,1295475,19417,89475,75136,86811,90000,74698,85657,187546,72329,92396,124846,154956,173708,585492,410607,29345,127292,22186,72778,449110,128504,53354,66006,380711,231749,264099,137623,134677,91744,46092,21533,201501,257172,69037,64618,71062,257792,248337,228744,166953,153490,71628,38441,65592,49890,37244,51364,73208,61084,382079,48596,200578,426579,106942,68057,52577,158248,78045,168124,76351,48384,76670,54207,45083,76815,239306,95829,34297,146299,83001,73289,65664,340704,36186,72864,103142,58348,52056,81310,155630,234844,83758,239835,115243,273468,224702,150674,194907,491107,24915,74641,75284,206910,282688,75770
DG 32:2 (14:0/18:2),32897,47565,80825,47457,30713,13153,59833,181418,26848,93736,150355,31381,29011,84172,43611,15213,95136,22816,78995,65823,86914,25906,57959,43791,45060,64392,108889,19743,91689,138804,150327,110423,92270,24888,40445,41970,55712,104294,50554,139036,132372,32522,26275,88746,91122,75159,44593,76607,60788,50875,50602,123711,52158,35695,42890,175252,133557,69945,101725,93651,113345,142028,38053,27342,36147,96864,33465,76224,76404,45310,139535,98758,108453,3679,82996,59642,34153,15741,72499,59823,114103,166272,71357,118260,182716,85221,41082,15152,59336,11613,11532,26944,79951,47257,19242,49225,125134,27986,72653,57549,7444,77840,24621,8663,35550,19006,25651,60711,66985,26484,40852,36910,11367,6872,9015,11571,12404,12349,36149,24065,14333,68383,21140,8651,15687,58272,143968,81030,58610,28378,110290,30199,7459,7066,23538,26554,40543,39621,34807,11172,50529,20824,18948,19928,17591,13925,7962,20183,70060,18177,149475,17536,28333,23481,105995,19875,23450,59560,33480,51437,35754,38832,14608,28557,4847,22324,25754,53812,19510,43298,77510,324273,3085,41388,36305,53826,47900,23774,18353,54048,64755,22215,43011,35258,79461,129770,124161,8973,13871,7020,32732,38768,6909,33835,10035,85775,40377,64005,91855,40702,50733,6790,3790,59557,57571,62485,3459,21435,201942,64158,41239,103310,77159,56272,13567,20744,22031,11777,16853,32812,22157,75043,20902,35217,131962,63124,22272,46662,46859,53670,95801,71888,13100,17658,19437,3582,25148,50309,16988,35209,46884,39859,19503,23167,155243,27009,56977,50480,31956,58856,23336,79893,73709,26144,97344,61423,48741,80115,81501,275541,175844,19067,18004,63611,80336,73990,18114
"DG 32:1 (16:0/16:1, 14:0/18:1)",36474,63276,105088,56818,20470,10315,97036,192200,32322,140758,154347,30853,40140,125409,32268,17432,206785,26825,87749,79857,117966,25212,59631,50904,65088,95702,121351,37896,108144,321347,196708,140546,104111,49888,92319,58744,85013,140182,74246,174416,144150,39519,29774,137307,153169,133813,51384,162651,114082,71619,68717,192809,76980,38412,52809,288854,133792,68472,162250,86781,148362,270288,37215,32270,39370,110279,35201,76038,77423,55036,173167,124819,149562,13608,81953,89621,40455,8895,84015,94030,128926,272061,88710,193437,408825,132553,70097,32854,58518,16644,18353,10347,84173,67487,24353,26068,94055,52017,97123,80273,10122,109748,41121,8550,52664,75575,46079,85896,86260,44722,16717,48470,23235,7749,6767,13591,15103,46775,25125,13833,11897,82824,27249,4582,11383,57789,333363,73564,75208,44701,191655,24449,11953,9248,39082,37782,60553,38378,35238,14883,61725,22318,22677,66719,17088,13308,8104,50073,82622,22857,236155,20254,24462,32495,242734,20652,60402,82054,39731,67844,37789,50695,26247,36529,14497,36873,23451,107627,22160,76762,97022,443827,8034,43280,42909,52028,46743,26455,26049,46313,120281,36160,62728,50054,134913,215745,181416,14487,44064,20471,23744,58025,16115,37347,6566,148494,66257,97596,145327,62483,76263,13092,8830,76299,68072,83180,14336,27923,495107,104590,32273,101953,154406,70441,31309,34577,26227,12798,32518,81611,41863,100144,32900,36517,192567,103378,21289,69076,75670,78374,140149,101306,39026,24363,22589,20864,26843,57640,18755,96268,52164,57105,19144,29026,272798,49837,49176,69629,61110,92448,37865,81283,96147,35976,158284,117813,52362,180968,93205,385460,190051,29103,24818,119904,144201,154246,29533
DG 30:0 (14:0/16:0),1481,4730,17534,1095,2195,1214,8647,36511,1107,18023,37759,4788,740,26290,4080,644,24442,2200,11101,14223,20478,647,6186,6429,5340,21085,27298,2798,22070,40883,38624,32558,16202,2424,7210,5508,8475,17607,14213,25561,28280,3827,1554,15860,23232,12834,2695,6840,32592,16935,4898,40379,2992,495,2836,50246,21426,4180,17529,17409,28492,42353,8562,1656,7789,9945,4487,15406,10142,7354,37279,9221,20600,138,12401,21092,2767,168,6042,13942,19328,48406,18849,52573,55888,12884,16826,1380,5745,2019,143,549,3799,940,792,3012,6475,2490,5536,4727,11.72038727,4467,826,144,3167,3249,4358,3086,9483,4416,1131,5626,318,133,285,131,1329,2074,1285,1450,496,8891,512,11.72038727,489,3815,35287,12316,6647,1574,24439,708,385,2123,1228,4074,3119,3328,2284,577,779,704,292,6426,313,1216,319,773,10576,2529,31871,766,3366,2148,22923,676,1386,8956,944,10314,2307,4682,678,1481,117,1365,1140,12700,1468,10594,8144,83014,588,5176,2491,4823,1900,351,681,4755,12481,2227,2966,3402,11477,15581,20153,155,2192,1196,4463,4652,2008,2546,11.72038727,21482,3980,8681,13912,4452,3483,331,128,6344,3048,8233,464,1075,50832,4535,702,10515,26093,4467,277,1415,606,178,1636,3345,2766,3656,357,787,27846,10370,897,6586,3321,7184,22239,11673,872,838,1394,570,391,3351,753,4305,751,4327,486,1462,39055,4288,2874,2158,1940,8431,2117,7588,9601,3562,17234,12596,3014,19224,9502,104795,21261,1623,411,9236,18243,16338,1583
DG 36:1 (18:0/18:1),36176,84926,195044,67773,90663,39268,267283,455816,61095,226334,288793,85580,37278,221278,69845,56989,185469,44071,165341,64273,173319,117070,155154,51405,112092,175438,172556,50355,181057,273961,287144,190017,105043,177118,55343,86721,192788,313634,111934,254156,342124,76192,61737,225436,129273,223920,121799,236442,203315,163604,164763,276169,98800,118355,166787,598650,170938,142903,312296,174204,238082,271617,44374,60295,47527,248132,23845,155394,147341,191141,307079,237120,177738,26541,105204,157525,97603,55102,106426,148541,272269,344934,96835,279153,691772,268225,130450,78742,154171,30517,41324,57616,123472,136065,75681,59036,110886,66957,93944,189273,45529,169101,58733,36630,43880,52784,52213,116354,179260,69085,88071,70813,71497,12401,16049,47445,45082,72285,26126,48773,18910,85878,30175,20289,47167,64867,484976,42210,52847,47564,98382,66368,82660,71043,61319,49330,114586,127100,70728,13087,94964,32940,53446,102218,91622,80324,20616,155159,179221,115424,197207,57470,49535,52719,292597,101899,139338,108507,55297,82863,63401,138536,66586,106783,28650,56177,49390,154662,43983,203767,183506,846851,53978,130494,34083,87013,66072,58927,28693,106666,218998,72324,75572,125353,222725,278554,277468,34994,25623,103256,73463,115384,44984,118277,61203,245444,117240,178272,230519,111701,143934,58084,42208,146767,207343,187883,5944,86264,526243,131403,54571,90909,191848,157139,43320,63476,30718,28991,82776,98575,65338,93231,68107,71175,271189,70648,63806,68887,154881,152506,366033,111375,61636,73577,49979,17348,64294,62310,42158,269468,28032,142212,47114,75455,552922,170838,33888,48222,44650,206337,90666,89407,78669,182556,365231,245449,129015,274334,152462,450762,261245,31404,34460,155253,246978,317523,31414
DG 32:0 (16:0/16:0),80447,75808,175240,78357,69078,51345,96950,241608,127032,209533,241841,113630,113913,213746,118505,97656,283152,107068,151380,160552,181398,136416,107254,113058,134038,174206,184494,126985,181974,328661,315744,235676,114192,144120,157954,114412,121083,194615,168184,184528,224613,103140,93829,192791,175694,178991,121070,176359,186529,132767,125428,249368,86745,68915,121450,291494,156424,108477,193758,167658,88837,250783,95749,86833,96963,160484,153906,173153,137176,204803,225129,214919,179121,54098,160494,177396,108091,96571,140180,172518,148375,337971,166436,261859,404339,181068,146115,116521,152787,125031,122269,74494,121402,55171,72698,72188,95345,85151,103319,97680,51754,135626,83351,48890,99200,133116,114135,146123,174087,128748,99897,128527,98479,90100,86304,87785,139696,182886,107437,99976,98339,153024,95691,115640,115062,150436,361594,118069,143408,119182,177862,108359,89873,131479,103109,94475,126362,126348,101890,122670,70128,98155,96074,163482,113724,148623,83776,93123,243467,155359,320658,91546,144354,106412,287800,89425,115266,152543,139162,133019,133694,128039,98663,123019,77911,109426,84614,165854,117016,185805,173060,455182,99466,152094,91494,116100,112216,101956,92976,124750,179965,123559,115893,113671,120407,210158,214167,37350,97245,105250,112534,130398,99729,106770,66278,207664,91959,117494,186427,124920,125902,88888,88959,162014,159285,187385,92269,95528,399792,119916,54441,175675,215438,105064,99758,122520,113520,77933,117427,150939,86065,128326,82262,79337,210768,131189,88363,91702,179356,117413,373795,123666,79475,98621,92158,99905,70956,123518,79826,129099,78513,125225,96359,116809,317894,117544,111337,107696,119889,137996,114505,107481,146622,163963,149550,181141,146670,212283,159441,444799,162502,113254,86720,138265,202820,187527,144427
